Job Title,Company,Location,Salary,Apply Link
Data Analyst,Creditas Solutions,Gurgaon,₹5L - ₹8L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&cs=1_f39adbe6&cb=1713296181025&jobListingId=1007988953466&jrtk=5-yul1-0-1hrk6i1fkir0t800-c68def4b6be4f911
Data Analyst,Wipro Limited,Bengaluru,₹3L - ₹7L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&cs=1_f01b3412&cb=1713296181026&jobListingId=1009229363456&jrtk=5-yul1-0-1hrk6i1fkir0t800-b4d845ebc127a43b
Data Analyst,Dermatouch,India,₹25T - ₹30T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_07b5daee&cb=1713296181027&jobListingId=1009218942777&jrtk=5-yul1-0-1hrk6i1fkir0t800-3febc5b8cef39529
Data Analyst,RemoteState,Noida,₹4L - ₹9L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1f3332fe&cb=1713296181026&jobListingId=1009197921116&jrtk=5-yul1-0-1hrk6i1fkir0t800-1318d449a48a80a2
Data Analyst,Chinmay Finlease Limited,Ahmedabad,₹26T - ₹39T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e7728d59&cb=1713296181026&jobListingId=1009226808409&jrtk=5-yul1-0-1hrk6i1fkir0t800-e4dbfd60dfdbad4a
Data Analyst,Haven Infoline Pvt Ltd.,Mumbai,₹30T - ₹40T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ded38f67&cb=1713296181026&jobListingId=1009223376417&jrtk=5-yul1-0-1hrk6i1fkir0t800-7ea435c82e2789be
Data Analyst,Qventus,Remote,N/A,https://www.glassdoor.co.in/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f282439a&cb=1713296181027&jobListingId=1009135673775&jrtk=5-yul1-0-1hrk6i1fkir0t800-891c0d23d198a530
Data Analyst,Anion Healthcare BPO,India,N/A,https://www.glassdoor.co.in/partner/jobListing.htm?pos=124&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2fdbbfd2&cb=1713296181027&jobListingId=1005645594310&jrtk=5-yul1-0-1hrk6i1fkir0t800-37da52a22bc938cd
Data Analytics Intern,ERP Launchpad,Remote,₹4T - ₹6T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_56cdbac5&cb=1713296181027&jobListingId=1009212710805&jrtk=5-yul1-0-1hrk6i1fkir0t800-ac1396487c9d280e
Data Analyst,TerraByte Technologies Pvt Ltd,Bengaluru,₹6L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1300bc94&cb=1713296181027&jobListingId=1009233890506&jrtk=5-yul1-0-1hrk6i1fkir0t800-906bf49bb2f4a1a7
Data Analyst,Aksar Infoedge Pvt. Ltd.,Calcutta,₹20T - ₹30T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_83f3bf9b&cb=1713296181027&jobListingId=1009235115180&jrtk=5-yul1-0-1hrk6i1fkir0t800-de2bf16c8242c662
Data Analyst,Stemmons Business Services,Vadodara,₹2L - ₹5L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=128&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_41ef4082&cb=1713296181027&jobListingId=1009221712414&jrtk=5-yul1-0-1hrk6i1fkir0t800-b011902ccd56908c
Data Analyst,Rushabh Sealink PVt LTD,India,N/A,https://www.glassdoor.co.in/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6ef28a33&cb=1713296181027&jobListingId=1009212288917&jrtk=5-yul1-0-1hrk6i1fkir0t800-af97d0793f256137
Data Analyst,S.K MINERALS,India,₹30T - ₹45T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=130&ao=1136043&s=58&guid=0000018ee869058d8c1a69d441bac57d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_cda34096&cb=1713296181027&jobListingId=1009215567896&jrtk=5-yul1-0-1hrk6i1fkir0t800-44894d9766e2a3e7
Data Analyst,Arting Digital Private Limited,Delhi,₹9L,https://www.glassdoor.co.in/partner/jobListing.htm?pos=201&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_53ae17aa&cb=1713296185845&jobListingId=1009221467535&jrtk=5-yul1-0-1hrk6i66bk6p4800-56e8836cb468ffdf
Data Analyst/Indexer,ARAYTECH,Dindigul,₹7T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=202&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9ccd12ad&cb=1713296185847&jobListingId=1009229872418&jrtk=5-yul1-0-1hrk6i66bk6p4800-74652e3ad4e7e2ff
Data Analyst,Willware Technologies,Remote,₹90T,https://www.glassdoor.co.in/partner/jobListing.htm?pos=203&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fa9d5c13&cb=1713296185846&jobListingId=1009226350721&jrtk=5-yul1-0-1hrk6i66bk6p4800-43e4a1de0f5588de
Data Analyst,Hyqoo,Remote,N/A,https://www.glassdoor.co.in/partner/jobListing.htm?pos=204&ao=1136043&s=58&guid=0000018ee8691888862b2ae04d8e8920&src=GD_JOB_AD&t=SR&vt=w&cs=1_1e5b60df&cb=1713296185845&jobListingId=1009219797808&jrtk=5-yul1-0-1hrk6i66bk6p4800-bf437b2d4b74699a
